unit_number,time_in_cycles,Actual_RUL,Predicted_RUL,Error,Absolute_Error
1,5,125,123.45,1.5499999999999972,1.5499999999999972
1,6,125,124.27,0.730000000000004,0.730000000000004
1,7,125,124.81,0.18999999999999773,0.18999999999999773
1,8,125,123.84,1.1599999999999966,1.1599999999999966
1,9,125,124.67,0.3299999999999983,0.3299999999999983
1,10,125,124.59,0.4099999999999966,0.4099999999999966
1,11,125,124.06,0.9399999999999977,0.9399999999999977
1,12,125,125.0,0.0,0.0
1,13,125,124.87,0.12999999999999545,0.12999999999999545
1,14,125,123.6,1.4000000000000057,1.4000000000000057
1,15,125,124.73,0.269999999999996,0.269999999999996
1,16,125,124.9,0.09999999999999432,0.09999999999999432
1,17,125,125.0,0.0,0.0
1,18,125,125.0,0.0,0.0
1,19,125,124.75,0.25,0.25
1,20,125,124.87,0.12999999999999545,0.12999999999999545
1,21,125,125.0,0.0,0.0
1,22,125,124.62,0.37999999999999545,0.37999999999999545
1,23,125,124.3,0.7000000000000028,0.7000000000000028
1,24,125,124.51,0.4899999999999949,0.4899999999999949
1,25,125,122.82,2.180000000000007,2.180000000000007
1,26,125,123.45,1.5499999999999972,1.5499999999999972
1,27,125,124.58,0.4200000000000017,0.4200000000000017
1,28,125,123.73,1.269999999999996,1.269999999999996
1,29,125,123.34,1.6599999999999966,1.6599999999999966
1,30,125,124.07,0.9300000000000068,0.9300000000000068
1,31,125,123.3,1.7000000000000028,1.7000000000000028
1,32,125,124.84,0.1599999999999966,0.1599999999999966
1,33,125,124.88,0.12000000000000455,0.12000000000000455
1,34,125,123.52,1.480000000000004,1.480000000000004
1,35,125,118.93,6.069999999999993,6.069999999999993
1,36,125,123.56,1.4399999999999977,1.4399999999999977
1,37,125,123.72,1.2800000000000011,1.2800000000000011
1,38,125,123.5,1.5,1.5
1,39,125,119.21,5.790000000000006,5.790000000000006
1,40,125,124.66,0.3400000000000034,0.3400000000000034
1,41,125,122.42,2.5799999999999983,2.5799999999999983
1,42,125,121.9,3.0999999999999943,3.0999999999999943
1,43,125,121.95,3.049999999999997,3.049999999999997
1,44,125,123.63,1.3700000000000045,1.3700000000000045
1,45,125,121.9,3.0999999999999943,3.0999999999999943
1,46,125,124.19,0.8100000000000023,0.8100000000000023
1,47,125,123.15,1.8499999999999943,1.8499999999999943
1,48,125,119.87,5.1299999999999955,5.1299999999999955
1,49,125,121.39,3.6099999999999994,3.6099999999999994
1,50,125,122.63,2.3700000000000045,2.3700000000000045
1,51,125,122.62,2.3799999999999955,2.3799999999999955
1,52,125,122.6,2.4000000000000057,2.4000000000000057
1,53,125,121.98,3.019999999999996,3.019999999999996
1,54,125,118.85,6.150000000000006,6.150000000000006
1,55,125,121.09,3.9099999999999966,3.9099999999999966
1,56,125,120.83,4.170000000000002,4.170000000000002
1,57,125,123.14,1.8599999999999994,1.8599999999999994
1,58,125,123.86,1.1400000000000006,1.1400000000000006
1,59,125,123.13,1.8700000000000045,1.8700000000000045
1,60,125,121.98,3.019999999999996,3.019999999999996
1,61,125,122.3,2.700000000000003,2.700000000000003
1,62,125,120.87,4.1299999999999955,4.1299999999999955
1,63,125,115.58,9.420000000000002,9.420000000000002
1,64,125,119.4,5.599999999999994,5.599999999999994
1,65,125,119.86,5.140000000000001,5.140000000000001
1,66,125,115.23,9.769999999999996,9.769999999999996
1,67,125,113.86,11.14,11.14
1,68,124,111.06,12.939999999999998,12.939999999999998
1,69,123,117.62,5.3799999999999955,5.3799999999999955
1,70,122,120.12,1.8799999999999955,1.8799999999999955
1,71,121,119.9,1.0999999999999943,1.0999999999999943
1,72,120,121.96,-1.9599999999999937,1.9599999999999937
1,73,119,119.17,-0.1700000000000017,0.1700000000000017
1,74,118,115.98,2.019999999999996,2.019999999999996
1,75,117,113.07,3.930000000000007,3.930000000000007
1,76,116,109.23,6.769999999999996,6.769999999999996
1,77,115,118.02,-3.019999999999996,3.019999999999996
1,78,114,107.89,6.109999999999999,6.109999999999999
1,79,113,110.11,2.8900000000000006,2.8900000000000006
1,80,112,108.32,3.680000000000007,3.680000000000007
1,81,111,118.25,-7.25,7.25
1,82,110,108.16,1.8400000000000034,1.8400000000000034
1,83,109,112.5,-3.5,3.5
1,84,108,118.28,-10.280000000000001,10.280000000000001
1,85,107,110.87,-3.8700000000000045,3.8700000000000045
1,86,106,114.77,-8.769999999999996,8.769999999999996
1,87,105,115.63,-10.629999999999995,10.629999999999995
1,88,104,110.52,-6.519999999999996,6.519999999999996
1,89,103,115.79,-12.790000000000006,12.790000000000006
1,90,102,115.33,-13.329999999999998,13.329999999999998
1,91,101,104.73,-3.730000000000004,3.730000000000004
1,92,100,101.21,-1.2099999999999937,1.2099999999999937
1,93,99,97.59,1.4099999999999966,1.4099999999999966
1,94,98,98.38,-0.37999999999999545,0.37999999999999545
1,95,97,94.23,2.769999999999996,2.769999999999996
1,96,96,96.29,-0.29000000000000625,0.29000000000000625
1,97,95,99.2,-4.200000000000003,4.200000000000003
1,98,94,97.82,-3.819999999999993,3.819999999999993
1,99,93,101.24,-8.239999999999995,8.239999999999995
1,100,92,104.48,-12.480000000000004,12.480000000000004
1,101,91,105.43,-14.430000000000007,14.430000000000007
1,102,90,94.71,-4.709999999999994,4.709999999999994
1,103,89,93.32,-4.319999999999993,4.319999999999993
1,104,88,92.0,-4.0,4.0
1,105,87,96.7,-9.700000000000003,9.700000000000003
1,106,86,97.76,-11.760000000000005,11.760000000000005
1,107,85,96.47,-11.469999999999999,11.469999999999999
1,108,84,100.28,-16.28,16.28
1,109,83,93.82,-10.819999999999993,10.819999999999993
1,110,82,95.2,-13.200000000000003,13.200000000000003
1,111,81,89.64,-8.64,8.64
1,112,80,92.81,-12.810000000000002,12.810000000000002
1,113,79,94.77,-15.769999999999996,15.769999999999996
1,114,78,94.6,-16.599999999999994,16.599999999999994
1,115,77,100.65,-23.650000000000006,23.650000000000006
1,116,76,95.91,-19.909999999999997,19.909999999999997
1,117,75,92.01,-17.010000000000005,17.010000000000005
1,118,74,88.64,-14.64,14.64
1,119,73,92.4,-19.400000000000006,19.400000000000006
1,120,72,88.99,-16.989999999999995,16.989999999999995
1,121,71,88.29,-17.290000000000006,17.290000000000006
1,122,70,87.76,-17.760000000000005,17.760000000000005
1,123,69,92.33,-23.33,23.33
1,124,68,91.05,-23.049999999999997,23.049999999999997
1,125,67,92.95,-25.950000000000003,25.950000000000003
1,126,66,90.02,-24.019999999999996,24.019999999999996
1,127,65,86.92,-21.92,21.92
1,128,64,85.74,-21.739999999999995,21.739999999999995
1,129,63,87.13,-24.129999999999995,24.129999999999995
1,130,62,89.16,-27.159999999999997,27.159999999999997
1,131,61,81.96,-20.959999999999994,20.959999999999994
1,132,60,88.0,-28.0,28.0
1,133,59,85.64,-26.64,26.64
1,134,58,89.21,-31.209999999999994,31.209999999999994
1,135,57,88.03,-31.03,31.03
1,136,56,87.94,-31.939999999999998,31.939999999999998
1,137,55,89.84,-34.84,34.84
1,138,54,85.11,-31.11,31.11
1,139,53,83.26,-30.260000000000005,30.260000000000005
1,140,52,82.23,-30.230000000000004,30.230000000000004
1,141,51,76.48,-25.480000000000004,25.480000000000004
1,142,50,79.57,-29.569999999999993,29.569999999999993
1,143,49,80.05,-31.049999999999997,31.049999999999997
1,144,48,75.48,-27.480000000000004,27.480000000000004
1,145,47,69.59,-22.590000000000003,22.590000000000003
1,146,46,79.87,-33.870000000000005,33.870000000000005
1,147,45,77.18,-32.18000000000001,32.18000000000001
1,148,44,80.87,-36.870000000000005,36.870000000000005
1,149,43,72.66,-29.659999999999997,29.659999999999997
1,150,42,71.45,-29.450000000000003,29.450000000000003
1,151,41,62.84,-21.840000000000003,21.840000000000003
1,152,40,65.82,-25.819999999999993,25.819999999999993
1,153,39,50.45,-11.450000000000003,11.450000000000003
1,154,38,48.09,-10.090000000000003,10.090000000000003
1,155,37,49.37,-12.369999999999997,12.369999999999997
1,156,36,55.65,-19.65,19.65
1,157,35,53.37,-18.369999999999997,18.369999999999997
